,date,ticker,shares,price_per_share
0,06/16/2023,TSLA,3781127.0,255.89999999999998
1,06/16/2023,ROKU,9129495.0,71.75
2,06/16/2023,ZM,8379175.0,69.94
3,06/16/2023,PATH,28990794.0,18.75
4,06/16/2023,SQ,7280069.0,66.19
5,06/16/2023,COIN,8181715.0,54.25
6,06/16/2023,EXAS,4274226.0,93.39
7,06/16/2023,SHOP,5919090.0,66.1
8,06/16/2023,U,8599536.0,41.67
9,06/16/2023,TWLO,4629414.0,68.07000000000001
10,06/16/2023,DKNG UW,12662111.0,24.83
11,06/16/2023,NTLA,6782723.0,45.57
12,06/16/2023,CRSP,5083591.0,58.940000000000005
13,06/16/2023,TDOC,11882311.0,25.2
14,06/16/2023,RBLX,6878972.0,40.63
15,06/16/2023,DNA,112491844.0,1.9500000000000002
16,06/16/2023,BEAM,6100682.0,34.0
17,06/16/2023,PACB,14382357.0,13.309999999999999
18,06/16/2023,HOOD,18930811.0,9.98
19,06/16/2023,PD,7543795.0,22.91
20,06/16/2023,TXG,2164662.0,58.72
21,06/16/2023,VCYT,4560060.0,26.52
22,06/16/2023,PLTR,5018248.0,16.599999999999998
23,06/16/2023,TWST,3746020.0,18.61
24,06/16/2023,META,150377.0,281.83
25,06/16/2023,TER,368002.0,110.09
26,06/16/2023,CERS,13443857.0,2.67
27,06/16/2023,VERV,1722632.0,19.84
28,06/16/2023,TWOU,6037289.0,4.43
29,06/16/2023,NVTA,19091305.0,1.27
0,06/15/2023,TSLA,3758247.6616929136,263.8021599942503
1,06/15/2023,ROKU,9074253.05634726,73.9656310261331
2,06/15/2023,ZM,8328473.190841176,72.09973845251217
3,06/15/2023,PATH,28815372.70795743,19.32899765491283
4,06/15/2023,SQ,7236017.805329752,68.23393892152961
5,06/15/2023,COIN,8132208.007662223,55.925233214881125
6,06/15/2023,EXAS,4248362.953703236,96.27387151958982
7,06/15/2023,SHOP,5883273.9952532435,68.14115973278602
8,06/15/2023,U,8547500.801650945,42.95676438827827
9,06/15/2023,TWLO,4601401.735648774,70.17199308639555
10,06/15/2023,DKNG UW,12585493.440936029,25.59674729447923
11,06/15/2023,NTLA,6741681.211623081,46.97719590050014
12,06/15/2023,CRSP,5052830.541992676,60.760059828296654
13,06/15/2023,TDOC,11810411.956873702,25.978172848202842
14,06/15/2023,RBLX,6837347.81557219,41.884649318352444
15,06/15/2023,DNA,111811163.62198997,2.0102157561109344
16,06/15/2023,BEAM,6063767.194604161,35.04991574757526
17,06/15/2023,PACB,14295330.35121082,13.721011135300786
18,06/15/2023,HOOD,18816261.970227525,10.288181151788269
19,06/15/2023,PD,7498148.017519828,23.617457934616155
20,06/15/2023,TXG,2151563.779755482,60.533266255812336
21,06/15/2023,VCYT,4532467.391912355,27.338934283108706
22,06/15/2023,PLTR,4987882.927972306,17.112605923816158
23,06/15/2023,TWST,3723353.091725004,19.184674472422813
24,06/15/2023,META,149467.07915983655,290.5328751511511
25,06/15/2023,TER,365775.24531662534,113.48956543089885
26,06/15/2023,CERS,13362509.14988677,2.7524492660595867
27,06/15/2023,VERV,1712208.4727535963,20.452656718585096
28,06/15/2023,TWOU,6000757.781268481,4.5667978459340715
29,06/15/2023,NVTA,18975784.832119163,1.309217441159429
0,06/14/2023,TSLA,3777016.595899603,268.19520259822673
1,06/14/2023,ROKU,9119570.46858845,75.19736532404364
2,06/14/2023,ZM,8370066.129740434,73.30040042876115
3,06/14/2023,PATH,28959278.560679562,19.65087944008109
4,06/14/2023,SQ,7272154.950704969,69.37022454074494
5,06/14/2023,COIN,8172820.785422103,56.856544513301294
6,06/14/2023,EXAS,4269579.555678922,97.8771003151559
7,06/14/2023,SHOP,5912655.449717341,69.27590031943254
8,06/14/2023,U,8590187.578739379,43.67211446763622
9,06/14/2023,TWLO,4624381.436352168,71.3405527192704
10,06/14/2023,DKNG UW,12648346.216914406,26.02300461318472
11,06/14/2023,NTLA,6775349.607773012,47.759497391173085
12,06/14/2023,CRSP,5078064.707629725,61.77188449058025
13,06/14/2023,TDOC,11869393.92531391,26.410781967468985
14,06/14/2023,RBLX,6871493.976988523,42.582145688026394
15,06/14/2023,DNA,112369555.87351316,2.0436914617684336
16,06/14/2023,BEAM,6094050.043890613,35.63359471801371
17,06/14/2023,PACB,14366722.164358094,13.949504285198897
18,06/14/2023,HOOD,18910231.611061662,10.459508096640496
19,06/14/2023,PD,7535594.258289776,24.010754558520414
20,06/14/2023,TXG,2162308.829751877,61.54131417181662
21,06/14/2023,VCYT,4555102.830002257,27.794203880050695
22,06/14/2023,PLTR,5012792.740984365,17.39757859761846
23,06/14/2023,TWST,3741947.7601709305,19.504152873595153
24,06/14/2023,META,150213.52751219267,295.37105880522955
25,06/14/2023,TER,367601.9507740009,115.37948360312146
26,06/14/2023,CERS,13429242.3930487,2.7982852322675473
27,06/14/2023,VERV,1720759.353660357,20.793250564864472
28,06/14/2023,TWOU,6030725.957430712,4.642847782376493
29,06/14/2023,NVTA,19070551.140541185,1.3310195674081593
0,06/13/2023,TSLA,3811662.942819339,263.202320493761
1,06/13/2023,ROKU,9203223.742062734,73.79744625020459
2,06/13/2023,ZM,8446844.244823895,71.93579638661058
3,06/13/2023,PATH,29224920.287710316,19.28504692949597
4,06/13/2023,SQ,7338861.992328701,68.07878700071139
5,06/13/2023,COIN,8247789.580780844,55.79806911600834
6,06/13/2023,EXAS,4308744.153114913,96.05496174643353
7,06/13/2023,SHOP,5966891.883878146,67.98621877544979
8,06/13/2023,U,8668984.854685085,42.85908829611185
9,06/13/2023,TWLO,4666800.610180258,70.01243437284218
10,06/13/2023,DKNG UW,12764368.738887938,25.538544813833866
11,06/13/2023,NTLA,6837499.483754029,46.870378057447006
12,06/13/2023,CRSP,5124645.490921069,60.62190218797294
13,06/13/2023,TDOC,11978271.164590508,25.91910307324258
14,06/13/2023,RBLX,6934525.779507495,41.78941102642248
15,06/13/2023,DNA,113400315.07648753,2.005644880667581
16,06/13/2023,BEAM,6149950.399794816,34.97021843215269
17,06/13/2023,PACB,14498507.245934434,13.68981198035154
18,06/13/2023,HOOD,19083694.0325508,10.264787645673055
19,06/13/2023,PD,7604717.812897006,23.563756008253474
20,06/13/2023,TXG,2182143.5590841556,60.39562430400018
21,06/13/2023,VCYT,4596886.515325393,27.2767703770791
22,06/13/2023,PLTR,5058774.788436692,17.073694881580433
23,06/13/2023,TWST,3776272.422761812,19.1410519124224
24,06/13/2023,META,151591.4271994418,289.87225472745865
25,06/13/2023,TER,370973.94144216855,113.23151021163794
26,06/13/2023,CERS,13552428.028855518,2.746190682760226
27,06/13/2023,VERV,1736543.7761055802,20.406150990997336
28,06/13/2023,TWOU,6086045.445284124,4.556413754542248
29,06/13/2023,NVTA,19245484.163468078,1.306240512024527
0,06/12/2023,TSLA,3789696.7743017534,263.16281824706766
1,06/12/2023,ROKU,9150186.638138307,73.78637049326731
2,06/12/2023,ZM,8398166.067632718,71.92500003204341
3,06/12/2023,PATH,29056500.48418015,19.282152567926993
4,06/12/2023,SQ,7296568.987498751,68.06856951845802
5,06/12/2023,COIN,8200258.532378381,55.78969476320211
6,06/12/2023,EXAS,4283913.363617959,96.04054551033077
7,06/12/2023,SHOP,5932505.382602003,67.97601518613196
8,06/12/2023,U,8619026.507094791,42.85265586696096
9,06/12/2023,TWLO,4639906.383125289,70.00192668260217
10,06/12/2023,DKNG UW,12690809.172120046,25.53471190728679
11,06/12/2023,NTLA,6798095.772525576,46.86334360108977
12,06/12/2023,CRSP,5095112.75727301,60.612803858859586
13,06/12/2023,TDOC,11909241.78636429,25.91521305129388
14,06/12/2023,RBLX,6894562.917064697,41.78313913785995
15,06/12/2023,DNA,112746802.30049297,2.0053438670644073
16,06/12/2023,BEAM,6114508.953664019,34.964969989840945
17,06/12/2023,PACB,14414954.04141576,13.687757369552441
18,06/12/2023,HOOD,18973716.931913722,10.263247073488607
19,06/12/2023,PD,7560892.712012502,23.56021948433106
20,06/12/2023,TXG,2169568.120524273,60.3865599353959
21,06/12/2023,VCYT,4570395.195036415,27.27267659207594
22,06/12/2023,PLTR,5029621.65995647,17.0711324068047
23,06/12/2023,TWST,3754510.2056793794,19.138179162086473
24,06/12/2023,META,150717.82350319752,289.8287497716728
25,06/12/2023,TER,368836.061929841,113.21451606416441
26,06/12/2023,CERS,13474326.96840758,2.745778525672804
27,06/12/2023,VERV,1726536.2770700317,20.403088370542484
28,06/12/2023,TWOU,6050972.275945097,4.555729913382218
29,06/12/2023,NVTA,19134574.685195956,1.3060444672675884
0,06/11/2023,TSLA,3765597.875080298,256.9751714067
1,06/11/2023,ROKU,9092000.076314867,72.05145974376993
2,06/11/2023,ZM,8344761.6477642665,70.23385497532081
3,06/11/2023,PATH,28871728.530485924,18.828778678685516
4,06/11/2023,SQ,7250169.686666951,66.46809923958371
5,06/11/2023,COIN,8148112.617881547,54.47793297699676
6,06/11/2023,EXAS,4256671.712749389,93.78238084279683
7,06/11/2023,SHOP,5894780.240496825,66.377721101926
8,06/11/2023,U,8564217.623019943,41.8450777355107
9,06/11/2023,TWLO,4610400.95222059,68.35599811509991
10,06/11/2023,DKNG UW,12610107.588459967,24.934323978227276
11,06/11/2023,NTLA,6754866.291467667,45.76146370067728
12,06/11/2023,CRSP,5062712.642917661,59.18763815049198
13,06/11/2023,TDOC,11833510.234552624,25.305878544153334
14,06/11/2023,RBLX,6850719.995899865,40.800708144799614
15,06/11/2023,DNA,112029838.91582176,1.9581929825832936
16,06/11/2023,BEAM,6075626.440408012,34.1428520040164
